,Host,CID_Host,Guest,CID_Guest,pH,T,DeltaG,Erreur,K,logK,Reference,Original_Value,Drop
746,beta-cyclodextrin,444041,2-naphthoate,4398214.0,7.0,298.0,-14.6,0.2,362,," Harata, K. Bull. Chem. Soc. Jpn. 1979, 52, 1807-1812.",DeltaG,False
747,beta-cyclodextrin,444041,1-naphthol,7005.0,7.0,298.0,-17.6,0.0,1216,," Guo, Q.-X.; Zheng, X.-Q.; Ruan, X.-Q.; Luo, S.-H.; Liu, Y.-C J. Inclusion Phenom. Mol. Recognit. Chem. 1996, 26, 175-183.",DeltaG,False
748,beta-cyclodextrin,444041,benzoic acid,243.0,7.0,298.0,-12.13,0.0,134,," Inoue, Y.; Hakushi, T.; Liu, Y.; Tong, L.-H.; Shen, B.-J.; Jin, D.-S.Thermodynamics of molecular recognition by cyclodextrins. 1. Calorimetric titration of inclusion complexation of naphthalene- sulfonates with R-, 􏰅-, and γ-cyclodextrins: Enthalpy-entropy compensation. J. Am. Chem. Soc. 1993, 115, 475-481.",DeltaG,False
749,beta-cyclodextrin,444041,2-naphthol,8663.0,7.0,298.0,-15.4,0.3,501,," Harata, K. Bull. Chem. Soc. Jpn. 1979, 52, 1807-1812.",DeltaG,False
750,beta-cyclodextrin,444041,1-naphthyl acetate,13247.0,7.0,298.0,-12.5,0.0,155,," Guo, Q.-X.; Zheng, X.-Q.; Ruan, X.-Q.; Luo, S.-H.; Liu, Y.-C J. Inclusion Phenom. Mol. Recognit. Chem. 1996, 26, 175-183.",DeltaG,False
751,beta-cyclodextrin,444041,4-hydroxybenzaldehyde,126.0,7.0,298.0,-9.99,0.0,56,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
752,beta-cyclodextrin,444041,2-naphthyl acetate,73709.0,7.0,298.0,-14.3,0.2,321,," Harata, K. Bull. Chem. Soc. Jpn. 1979, 52, 1807-1812.",DeltaG,False
753,beta-cyclodextrin,444041,1-naphthylaldehyde,6195.0,7.0,298.0,-14.8,0.0,393,," Guo, Q.-X.; Zheng, X.-Q.; Ruan, X.-Q.; Luo, S.-H.; Liu, Y.-C J. Inclusion Phenom. Mol. Recognit. Chem. 1996, 26, 175-183.",DeltaG,False
754,beta-cyclodextrin,444041,4-hydroxybenzoic acid,135.0,7.0,298.0,-12.54,0.0,158,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
755,beta-cyclodextrin,444041,(2-naphthyloxy)acetic acid,8422.0,7.0,298.0,-14.6,0.1,362,," Harata, K. Bull. Chem. Soc. Jpn. 1979, 52, 1807-1812.",DeltaG,False
756,beta-cyclodextrin,444041,naproxen,156391.0,2.0,298.0,-18.1,0.0,1489,," Orienti, I.; Fini, A.; Bertasi, V.; Zecchi, V. Eur. J. Pharm. Biopharm. 1991, 37, 110-112.",DeltaG,False
757,beta-cyclodextrin,444041,niflumic acid,4488.0,7.0,298.0,-15.5,0.0,521,," El Gezawi, S.; Omar, N.; El Rabbat, N.; Ueda, H.; Perrin, J. H. J. Pharm. Biomed. Anal. 1988, 6, 399-406.",DeltaG,True
758,beta-cyclodextrin,444041,toluene,1140.0,7.0,298.0,-11.93,0.0,123,," Park, J. H.; Nah, T. H. Binding forces contributing to the complexationof organic molecules with (cid:226)-cyclodextrin in aqueous solution. J. Chem.",DeltaG,False
759,beta-cyclodextrin,444041,2-nitrophenol,6947.0,3.57,298.0,-8.1,0.0,26,," Landau, S.; Grushka, E. Isr. J. Chem. 1990, 30, 271-279.",DeltaG,False
760,beta-cyclodextrin,444041,3-nitrophenol,11137.0,3.57,298.0,-8.7,0.0,33,," Landau, S.; Grushka, E. Isr. J. Chem. 1990, 30, 271-279.",DeltaG,False
761,beta-cyclodextrin,444041,anisole,7519.0,7.0,298.0,-13.24,0.0,209,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
762,beta-cyclodextrin,444041,4-nitrophenol,980.0,3.57,298.0,-10.0,0.0,57,," Landau, S.; Grushka, E. Isr. J. Chem. 1990, 30, 271-279.",DeltaG,False
763,beta-cyclodextrin,444041,4-nitrophenolate,644235.0,9.0,298.0,-18.5,0.0,1749,," Valsami, G. N.; Macheras, P. E.; Koupparis, M. A. J. Pharm. Sci. 1990, 79, 1087-1094.",DeltaG,False
764,beta-cyclodextrin,444041,p-cresol,2879.0,7.0,298.0,-13.68,0.0,250,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
765,beta-cyclodextrin,444041,2-norbornaneacetate,79139.0,8.6,298.0,-20.8,0.3,4426,," Godı´nez, L. A.; Schwartz, L.; Criss, C. M.; Kaifer, A. E. J. Phys. Chem. B 1997, 101, 3376-3380.",DeltaG,False
766,beta-cyclodextrin,444041,4-methoxyphenol,9015.0,7.0,298.0,-12.61,0.0,162,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
767,beta-cyclodextrin,444041,pentobarbital,4737.0,5.0,298.0,-18.0,0.0,1430,," Hardee, G. E.; Otagiri, M.; Perrin, J. H. Acta Pharm. Suec. 1978, 15, 188-199.",DeltaG,False
768,beta-cyclodextrin,444041,phenobarbital,4763.0,5.0,298.0,-18.3,0.0,1614,," Hardee, G. E.; Otagiri, M.; Perrin, J. H. Acta Pharm. Suec. 1978, 15, 188-199.",DeltaG,False
769,beta-cyclodextrin,444041,3-methoxyphenol,9007.0,7.0,298.0,-12.05,0.0,129,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
770,beta-cyclodextrin,444041,phenolphthalein,4764.0,9.94,298.0,-26.8,0.0,49863,," Gelb, R. I.; Raso, S.; Alper, J. S. Supramol. Chem. 1995, 4, 279- 285.",DeltaG,False
771,beta-cyclodextrin,444041,4-hydroxybenzyl alcohol,125.0,7.0,298.0,-12.34,0.0,146,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
772,beta-cyclodextrin,444041,phenolphthalein,4764.0,10.5,298.0,-6.1,0.0,12,," Tong, L.-H.; Liu, Y. Youji Huaxue 1990, 10, 432-435 (in Chinese).",DeltaG,True
773,beta-cyclodextrin,444041,hydrochlorothiazide,3639.0,7.0,298.0,-10.04,0.0,58,," Klein, C. Th.; Polheim, D.; Viernstein, H.; Wolschann, P. A methodfor predicting the free energies of complexation between (cid:226)-cyclodextrin and guest molecules. J. Incl. Phenom. Macro. Chem. 2000, 36, 409- 423.",DeltaG,False
774,beta-cyclodextrin,444041,phenprocoumon,54680692.0,7.4,298.0,-16.2,0.0,691,," Otagiri, M.; Fokkens, J. G.; Hardee, G. E.; Perrin, J. H. Pharm. Acta Helv. 1978, 53, 241-247.",DeltaG,False
775,beta-cyclodextrin,444041,phenylacetate,4409936.0,6.9,298.0,-7.1,0.4,18,," Rekharsky, M. V.; Mayhew, M. P.; Goldberg, R. N.; Ross, P. D.; Yamashoji, Y.; Inoue, Y.; A J. Phys. Chem. 1997, 101, 87-100.",DeltaG,False
776,beta-cyclodextrin,444041,1-butylimidazole,61347.0,7.0,298.0,-12.5,0.0,155,," Rekharsky, M. V.; Goldberg, R. N.; Schwarz, F. P.; Tewari, Y. B.;Ross, P. D.; Yamashoji, Y.; Inoue, Y. Thermodynamic and nuclear magnetic resonance study of the interactions of R- and 􏰅-cyclodextrin with model substances: phenethylamine, ephedrines, and related substances. J. Am. Chem. Soc. 1995, 117, 8830-8840.",DeltaG,False
777,beta-cyclodextrin,444041,3-phenylbutanoate,20724.0,6.9,298.0,-14.76,0.04,387,," Ross, P. D.; Rekharsky, M. V. Biophys. J. 1996, 71, 2144-2154.",DeltaG,False
778,beta-cyclodextrin,444041,4-phenylbutanoate,22053264.0,6.9,298.0,-15.06,0.15,436,," Rekharsky, M. V.; Mayhew, M. P.; Goldberg, R. N.; Ross, P. D.; Yamashoji, Y.; Inoue, Y.; A J. Phys. Chem. 1997, 101, 87-100.",DeltaG,False
779,beta-cyclodextrin,444041,1-heptanol,8129.0,7.0,298.0,-16.27,0.0,711,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
780,beta-cyclodextrin,444041,phenytoin,1775.0,5.0,293.0,-16.43,0.0,850,," Menard, F. A.; Dedhiya, M. G.; Rhodes, C. T. Pharm. Acta Helv. 1988, 63, 303-308.",DeltaG,False
781,beta-cyclodextrin,444041,phenytoin,1775.0,5.0,298.0,-27.6,0.0,68867,," Menard, F. A.; Dedhiya, M. G.; Rhodes, C. T. Pharm. Acta Helv. 1989, 64, 76-81.",DeltaG,True
782,beta-cyclodextrin,444041,1-propanol,1031.0,6.9,298.0,-3.7,1.2,4,," Rekharsky, M. V.; Schwarz, F. P.; Tewari, Y. B.; Goldberg, R. N. J. Phys. Chem. 1994, 98, 10282-10288.",DeltaG,False
783,beta-cyclodextrin,444041,thianaphthene,7221.0,7.0,298.0,-18.44,0.0,1707,," Carpignano, R.; Marzona, M.; Cattaneo, E.; Quaranta, S. QSAR studyof inclusion complexes of heterocyclic compounds with (cid:226)-cyclodextrin. Anal. Chim. Acta 1997, 348, 489-493.",DeltaG,False
784,beta-cyclodextrin,444041,propanolol,4946.0,7.0,298.0,-12.7,0.0,168,," Mwakibete, H.; Bloor, D. M.; Wyn-Jones, E. J. Inclusion Phenom. Mol. Recognit. Chem. 1991, 10, 497-505.",DeltaG,False
785,alpha-cyclodextrin,444913,3-fluorophenyl acetate,136542.0,7.0,298.0,-6.56,0.0,14,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
786,beta-cyclodextrin,444041,prostaglandin e2,5280360.0,7.0,298.0,-18.7,0.0,1896,," Hardee, G. E.; Otagiri, M.; Perrin, J. H. Acta Pharm. Suec. 1978, 15, 188-199.",DeltaG,False
787,beta-cyclodextrin,444041,3-fluorophenyl acetate,136542.0,7.0,298.0,-10.9,0.0,81,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
788,beta-cyclodextrin,444041,resorcinol,5054.0,7.0,303.0,-11.6,0.0,100,," Siimer, E.; Ko˜bu, M.; Kurvits, M. Thermochim. Acta 1990, 170, 89-95.",DeltaG,False
789,beta-cyclodextrin,444041,secobarbital,5193.0,5.0,298.0,-18.6,0.0,1821,," Hardee, G. E.; Otagiri, M.; Perrin, J. H. Acta Pharm. Suec. 1978, 15, 188-199.",DeltaG,False
790,beta-cyclodextrin,444041,4-chlorophenyl acetate,13410.0,7.0,298.0,-14.27,0.0,317,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
791,beta-cyclodextrin,444041,sulfadiazine,5215.0,7.0,298.0,-15.7,0.0,565,," Danil de Namor, A. F.; Tanaka, D. A. P.; Regueira, L. N.; Go´mez- Orellana, I. J. Chem. Soc., Faraday Trans. 1992, 88, 1665-1668.",DeltaG,True
792,beta-cyclodextrin,444041,sulfadimethoxine,5323.0,7.0,298.0,-15.92,0.0,617,," Danil de Namor, A. F.; Tanaka, D. A. P.; Regueira, L. N.; Go´mez- Orellana, I. J. Chem. Soc., Faraday Trans. 1992, 88, 1665-1668.",DeltaG,False
793,beta-cyclodextrin,444041,3-chlorophenyl acetate,83061.0,7.0,298.0,-13.93,0.0,277,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
794,beta-cyclodextrin,444041,sulfaethidole,7181.0,7.0,298.0,-18.0,0.0,1430,," Hardee, G. E.; Otagiri, M.; Perrin, J. H. Acta Pharm. Suec. 1978, 15, 188-199.",DeltaG,False
795,beta-cyclodextrin,444041,4-bromophenyl acetate,74726.0,7.0,298.0,-15.3,0.0,481,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
796,beta-cyclodextrin,444041,sulfaguanidine,5324.0,7.0,298.0,-14.6,0.0,362,," Min, S. H. J. Pharm. Soc. Korea 1971, 15, 8-15.",DeltaG,False
797,beta-cyclodextrin,444041,sulfamerazine,5325.0,7.0,298.0,-14.44,0.0,340,," Danil de Namor, A. F.; Tanaka, D. A. P.; Regueira, L. N.; Go´mez- Orellana, I. J. Chem. Soc., Faraday Trans. 1992, 88, 1665-1668.",DeltaG,False
798,beta-cyclodextrin,444041,3-bromophenyl acetate,141946.0,7.0,298.0,-15.24,0.0,469,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
799,beta-cyclodextrin,444041,sulfamethazine,5327.0,7.0,298.0,-11.8,0.0,117,," Min, S. H. J. Pharm. Soc. Korea 1971, 15, 8-15.",DeltaG,False
800,beta-cyclodextrin,444041,sulfamethizole,5328.0,7.0,298.0,-17.7,0.0,1267,," Danil de Namor, A. F.; Tanaka, D. A. P.; Regueira, L. N.; Go´mez- Orellana, I. J. Chem. Soc., Faraday Trans. 1992, 88, 1665-1668.",DeltaG,False
801,beta-cyclodextrin,444041,sulfamethoxazole,5329.0,7.0,298.0,-15.81,0.0,591,," Danil de Namor, A. F.; Tanaka, D. A. P.; Regueira, L. N.; Go´mez- Orellana, I. J. Chem. Soc., Faraday Trans. 1992, 88, 1665-1668.",DeltaG,False
802,beta-cyclodextrin,444041,3-iodophenyl acetate,13101769.0,7.0,298.0,-17.53,0.0,1183,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
803,beta-cyclodextrin,444041,sulfamonomethoxine,5332.0,7.0,298.0,-14.5,0.0,348,," Min, S. H. J. Pharm. Soc. Korea 1971, 15, 8-15.",DeltaG,False
804,beta-cyclodextrin,444041,sulfapyridine,5336.0,7.0,298.0,-16.15,0.0,678,," Danil de Namor, A. F.; Tanaka, D. A. P.; Regueira, L. N.; Go´mez- Orellana, I. J. Chem. Soc., Faraday Trans. 1992, 88, 1665-1668.",DeltaG,False
805,beta-cyclodextrin,444041,4-nitrophenyl acetate,13243.0,7.0,298.0,-12.16,0.0,135,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
806,beta-cyclodextrin,444041,sulfathiazole,5340.0,7.0,298.0,-19.24,0.0,2358,," Danil de Namor, A. F.; Tanaka, D. A. P.; Regueira, L. N.; Go´mez- Orellana, I. J. Chem. Soc., Faraday Trans. 1992, 88, 1665-1668.",DeltaG,False
807,beta-cyclodextrin,444041,acetophenone,7410.0,7.0,298.0,-12.96,0.0,187,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
808,beta-cyclodextrin,444041,sulfisomidine,5343.0,7.0,298.0,-11.7,0.0,112,," Min, S. H. J. Pharm. Soc. Korea 1971, 15, 8-15.",DeltaG,False
809,beta-cyclodextrin,444041,sulfisoxazole,5344.0,7.0,298.0,-15.95,0.0,625,," Danil de Namor, A. F.; Tanaka, D. A. P.; Regueira, L. N.; Go´mez- Orellana, I. J. Chem. Soc., Faraday Trans. 1992, 88, 1665-1668.",DeltaG,False
810,beta-cyclodextrin,444041,thenyldiamine,7066.0,7.0,298.0,-13.2,0.0,206,," El Gezawi, S.; Omar, N.; El Rabbat, N.; Ueda, H.; Perrin, J. H. J. Pharm. Biomed. Anal. 1988, 6, 399-406.",DeltaG,False
811,beta-cyclodextrin,444041,4-hydroxyacetophenone,7469.0,7.0,298.0,-12.44,0.0,152,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
812,beta-cyclodextrin,444041,thiopental,3000715.0,5.0,298.0,-19.6,0.0,2727,," Otagiri, M.; Miyaji, T.; Uekama, K.; Ikeda, K. Chem. Pharm. Bull. 1976, 24, 1146-1154.",DeltaG,False
813,beta-cyclodextrin,444041,"3,4,5-trimethylphenyl acetate",12282520.0,10.0,298.0,-13.0,4.0,190,," VanEtten, R. L.; Sebastian, J. F.; Clowes, G. A.; Bender, M. L. J. Am. Chem. Soc. 1967, 89, 3242-3253.",DeltaG,False
814,beta-cyclodextrin,444041,acetoanilide,904.0,7.0,298.0,-12.54,0.0,158,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
815,beta-cyclodextrin,444041,tropicamide,5593.0,7.0,298.0,-15.0,0.0,426,," El Gezawi, S.; Omar, N.; El Rabbat, N.; Ueda, H.; Perrin, J. H. J. Pharm. Biomed. Anal. 1988, 6, 399-406.",DeltaG,False
816,beta-cyclodextrin,444041,d-tryptophan,9060.0,8.9,298.0,-6.3,1.3,13,," Tabushi, I.; Kuroda, Y.; Mizutani, T. J. Am. Chem. Soc. 1986, 108, 4514-4518.",DeltaG,False
817,beta-cyclodextrin,444041,p-xylene,7809.0,7.0,298.0,-13.58,0.0,240,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
818,beta-cyclodextrin,444041,l-tyrosine,6057.0,11.3,298.0,-12.04,0.1,129,," Castronuovo, G.; Elia, V.; Fessas, D.; Giordano, A.; Velleca, F. Carbohydr. Res. 1995, 272, 31-39.",DeltaG,False
819,beta-cyclodextrin,444041,ethylbenzene,7500.0,7.0,298.0,-14.77,0.0,388,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
820,beta-cyclodextrin,444041,warfarin,54678486.0,7.4,298.0,-16.3,0.0,720,," Otagiri, M.; Fokkens, J. G.; Hardee, G. E.; Perrin, J. H. Pharm. Acta Helv. 1978, 53, 241-247.",DeltaG,False
821,gamma-cyclodextrin,5287407,4-amino-1-naphthalenesulfonate,3730039.0,7.0,298.0,-7.5,0.5,21,," Inoue, Y.; Hakushi, T.; Liu, Y.; Tong, L.-H.; Shen, B.-J.; Jin, D.- S. J. Am. Chem. Soc. 1993, 115, 475-481.",DeltaG,False
822,gamma-cyclodextrin,5287407,2-chloro-4-[(4-hydroxyphenyl)azo]benzoate,136229530.0,7.0,298.0,-24.55,0.0,20108,," Danil de Namor, A. F.; Traboulssi, R.; Lewis, D. F. V. J. Am. Chem. Soc. 1990, 112, 8442-8447.",DeltaG,False
823,gamma-cyclodextrin,5287407,4-chloro-3-[(4-hydroxyphenyl)azo]benzoate,136229532.0,7.0,298.0,-23.75,0.0,14559,," Danil de Namor, A. F.; Traboulssi, R.; Lewis, D. F. V. J. Am. Chem. Soc. 1990, 112, 8442-8447.",DeltaG,False
824,beta-cyclodextrin,444041,3-ethylphenol,12101.0,7.0,298.0,-14.84,0.0,399,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
825,gamma-cyclodextrin,5287407,2-naphthalenesulfonate,3769791.0,7.0,298.0,-6.6,0.1,14,," Inoue, Y.; Hakushi, T.; Liu, Y.; Tong, L.-H.; Shen, B.-J.; Jin, D.- S. J. Am. Chem. Soc. 1993, 115, 475-481.",DeltaG,True
826,alpha-cyclodextrin,444913,carbon tetrachloride,5943.0,7.0,298.0,-9.25,0.0,42,," Connors, K. A. Population characteristics of cyclodextrin complexstabilities in aqueous solution. J. Pharm. Sci. 1995, 84, 843-848.",DeltaG,False
827,beta-cyclodextrin,444041,4-ethylphenol,31242.0,7.0,298.0,-15.37,0.0,495,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
828,alpha-cyclodextrin,444913,acetonitrile,6342.0,7.0,298.0,-4.28,0.0,6,," Connors, K. A. Population characteristics of cyclodextrin complexstabilities in aqueous solution. J. Pharm. Sci. 1995, 84, 843-848.",DeltaG,False
829,beta-cyclodextrin,444041,4-ethoxyphenol,12150.0,7.0,298.0,-13.3,0.0,214,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
830,alpha-cyclodextrin,444913,3-ethoxyphenol,69306.0,7.0,298.0,-9.65,0.0,49,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
831,alpha-cyclodextrin,444913,cyclopentanol,7298.0,7.0,298.0,-9.48,0.0,46,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
832,alpha-cyclodextrin,444913,2-methyl-1-butanol,8723.0,7.0,298.0,-11.64,0.0,110,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
833,beta-cyclodextrin,444041,3-ethoxyphenol,69306.0,7.0,298.0,-13.41,0.0,224,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
834,alpha-cyclodextrin,444913,3-methyl-2-butanol,11732.0,7.0,298.0,-7.25,0.0,19,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
835,beta-cyclodextrin,444041,"3,5-dimethoxyphenol",10383.0,7.0,298.0,-13.36,0.0,220,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
836,alpha-cyclodextrin,444913,"2,2-dimethyl-1-propanol",6404.0,7.0,298.0,-8.39,0.0,30,," Inoue, Y.; Hakushi, T.; Liu, Y.; Tong, L.-H.; Shen, B.-J.; Jin, D.-S.Thermodynamics of molecular recognition by cyclodextrins. 1. Calorimetric titration of inclusion complexation of naphthalene- sulfonates with R-, 􏰅-, and γ-cyclodextrins: Enthalpy-entropy compensation. J. Am. Chem. Soc. 1993, 115, 475-481.",DeltaG,False
837,beta-cyclodextrin,444041,n-ethylaniline,7670.0,7.0,298.0,-13.33,0.0,217,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
838,alpha-cyclodextrin,444913,"1,4-dibromobenzene",7804.0,7.0,298.0,-17.07,0.0,982,," Connors, K. A. Population characteristics of cyclodextrin complexstabilities in aqueous solution. J. Pharm. Sci. 1995, 84, 843-848.",DeltaG,False
839,alpha-cyclodextrin,444913,"3,5-dibromophenol",12280.0,7.0,298.0,-17.81,0.0,1324,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
840,beta-cyclodextrin,444041,cyclooctanol,12766.0,7.0,298.0,-18.84,0.0,2007,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
841,alpha-cyclodextrin,444913,1-octanol,957.0,7.0,298.0,-21.69,0.0,6339,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
842,alpha-cyclodextrin,444913,fluorobenzene,10008.0,7.0,298.0,-8.73,0.0,34,," Connors, K. A. Population characteristics of cyclodextrin complexstabilities in aqueous solution. J. Pharm. Sci. 1995, 84, 843-848.",DeltaG,False
843,alpha-cyclodextrin,444913,bromobenzene,7961.0,7.0,298.0,-15.47,0.0,515,," Connors, K. A. Population characteristics of cyclodextrin complexstabilities in aqueous solution. J. Pharm. Sci. 1995, 84, 843-848.",DeltaG,False
844,beta-cyclodextrin,444041,1-octanol,957.0,7.0,298.0,-18.1,0.0,1489,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
